OSEBuildingID,CouncilDistrictCode,Age,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking(%),PropertyGFABuilding(s)(%),LargestPropertyUseTypeGFA,ENERGYSTARScore,EnergyStarNaN,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(%),Electricity(%),NaturalGas(%),TotalGHGEmissions,GHGEmissionsIntensity,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Laboratory,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Office,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility
804,5,16,1.0,5,303255,6.535753738602826,93.46424626139718,321828.0,0.0,1,36.5,36.5,111.3000031,111.3000031,11077140.0,11077140.0,0.0,10602152.0,474987.0,99.14,0.33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
805,2,30,1.0,1,411584,0.0,100.0,288048.0,43.0,0,37.0,41.70000076,77.40000153,81.69999695,15091579.0,16973858.0,0.0,7501894.0,7589685.0,455.39,1.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806,7,114,1.0,4,73320,0.0,100.0,27283.0,0.0,1,20.0,23.0,45.90000153,50.5,1141189.75,1315191.375,0.0,681682.0,459508.0,29.16,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
807,7,8,1.0,4,242686,41.27803004705669,58.72196995294331,149081.0,77.0,0,65.0,65.0,204.0,204.0,9683979.0,9683979.0,0.0,9683978.0,0.0,67.51,0.28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,2,116,1.0,6,95760,16.541353383458645,83.45864661654136,95760.0,83.0,0,56.29999924,58.29999924,159.3999939,163.8000031,5392617.5,5587502.5,0.0,4593859.0,798758.0,74.45,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
811,2,70,1.0,1,179413,0.0,100.0,178087.0,57.0,0,19.39999962,19.39999962,61.0,61.0,3459543.0,3459543.0,0.0,3459542.0,0.0,24.12,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
812,2,99,0.0,1,65288,0.0,100.0,60000.0,0.0,1,8.600000381,8.600000381,27.10000038,27.10000038,605971.1875,605971.1875,0.0,605971.0,0.0,4.22,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
813,1,50,1.0,1,170632,0.0,100.0,164806.0,98.0,0,3.5,3.599999905,11.10000038,11.39999962,602245.0,622185.6875,0.0,602245.0,0.0,4.2,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
814,7,22,1.0,10,381511,0.0,100.0,220033.0,87.0,0,51.90000153,52.29999924,157.3999939,157.8999939,11410228.0,11518169.0,0.0,10834205.0,576022.0,106.12,0.28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,3,7,1.0,17,413264,33.416411785202676,66.58358821479732,295494.0,91.0,0,46.09999847,46.09999847,144.8000031,144.8000031,13631141.0,13631141.0,0.0,13631140.0,0.0,95.03,0.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
